"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Back Extension (Weighted Hyperextension)",,"",0,"normal",,15,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Back Extension (Weighted Hyperextension)",,"",1,"normal",,15,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Incline Bench Press (Dumbbell)",,"",0,"normal",16,12,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Incline Bench Press (Dumbbell)",,"",1,"normal",16,11,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Incline Bench Press (Dumbbell)",,"",2,"normal",16,10,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Lying Leg Curl (Machine)",,"",0,"normal",39,8,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Lying Leg Curl (Machine)",,"",1,"normal",39,7,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Lying Leg Curl (Machine)",,"",2,"normal",39,6,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Lateral Raise (Cable)",,"",0,"normal",2.5,13,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Lateral Raise (Cable)",,"",1,"normal",2.5,8,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Cable Core Pallof Press",,"",0,"normal",12.5,10,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Cable Core Pallof Press",,"",1,"normal",12.5,10,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Hip Abduction (Machine)",,"",0,"normal",71.25,15,,,
