"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","28 Jul 2026, 18:39","28 Jul 2026, 19:31","","Overhead Triceps Extension (Cable)",,"",0,"normal",7.5,8,,,
"Evening workout 🏋️","28 Jul 2026, 18:39","28 Jul 2026, 19:31","","Overhead Triceps Extension (Cable)",,"",1,"normal",7.5,8,,,
"Evening workout 🏋️","28 Jul 2026, 18:39","28 Jul 2026, 19:31","","Overhead Triceps Extension (Cable)",,"",2,"normal",7.5,7,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Incline Bench Press (Dumbbell)",,"",0,"normal",18,10,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Incline Bench Press (Dumbbell)",,"",1,"normal",18,9,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Incline Bench Press (Dumbbell)",,"",2,"normal",18,7,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Leg Press (Machine)",,"",0,"normal",110,11,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Leg Press (Machine)",,"",1,"normal",110,10,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Leg Press (Machine)",,"",2,"normal",110,10,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Iso-Lateral Chest Press (Machine)",,"",0,"normal",15,12,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Iso-Lateral Chest Press (Machine)",,"",1,"normal",15,10,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Iso-Lateral Chest Press (Machine)",,"",2,"normal",15,7,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Lateral Raise (Cable)",,"",0,"normal",3.75,10,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Lateral Raise (Cable)",,"",1,"normal",3.75,6,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Lateral Raise (Cable)",,"",2,"normal",2.5,7,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Leg Extension (Machine)",,"",0,"normal",60,11,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Leg Extension (Machine)",,"",1,"normal",60,10,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Leg Extension (Machine)",,"",2,"normal",60,10,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Face Pull",,"",0,"normal",15,12,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Face Pull",,"",1,"normal",15,12,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Face Pull",,"",2,"normal",17.5,14,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Seated Dip Machine",,"",0,"normal",70,10,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Seated Dip Machine",,"",1,"normal",70,8,,,
"Morning workout ☀️","24 Jul 2026, 08:56","24 Jul 2026, 09:48","","Seated Dip Machine",,"",2,"normal",70,7,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Lat Pulldown (Cable)",,"",0,"normal",28.5,11,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Lat Pulldown (Cable)",,"",1,"normal",28.5,9,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Lat Pulldown (Cable)",,"",2,"normal",28.5,7,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Lying Leg Curl (Machine)",,"",0,"normal",41.5,12,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Lying Leg Curl (Machine)",,"",1,"normal",41.5,11,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Lying Leg Curl (Machine)",,"",2,"normal",41.5,10,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Iso-Lateral Row (Machine)",,"",0,"normal",35,12,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Iso-Lateral Row (Machine)",,"",1,"normal",35,12,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Iso-Lateral Row (Machine)",,"",2,"normal",35,12,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Seated Incline Curl (Dumbbell)",,"",0,"normal",9,8,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Seated Incline Curl (Dumbbell)",,"",1,"normal",9,7,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Seated Incline Curl (Dumbbell)",,"",2,"normal",8,6,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Triceps Pushdown",,"",0,"normal",20,12,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Triceps Pushdown",,"",1,"normal",20,12,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Triceps Pushdown",,"",2,"normal",20,12,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Hip Abduction (Machine)",,"",0,"normal",71.25,18,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Hip Abduction (Machine)",,"",1,"normal",71.25,18,,,
"Evening workout 🏋️","22 Jul 2026, 18:36","22 Jul 2026, 19:36","","Hip Abduction (Machine)",,"",2,"normal",71.25,12,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Incline Bench Press (Dumbbell)",,"",0,"normal",18,10,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Incline Bench Press (Dumbbell)",,"",1,"normal",18,9,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Incline Bench Press (Dumbbell)",,"",2,"normal",18,7,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Leg Press (Machine)",,"",0,"normal",105,11,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Leg Press (Machine)",,"",1,"normal",105,10,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Leg Press (Machine)",,"",2,"normal",105,9,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Seated Dip Machine",,"",0,"normal",70,10,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Seated Dip Machine",,"",1,"normal",70,9,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Seated Dip Machine",,"",2,"normal",65,8,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Leg Extension (Machine)",,"",0,"normal",60,10,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Leg Extension (Machine)",,"",1,"normal",60,9,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Leg Extension (Machine)",,"",2,"normal",60,9,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Chest Fly (Machine)",,"",0,"normal",50,11,,,
"Late night workout 🌙","20 Jul 2026, 21:10","20 Jul 2026, 22:00","","Chest Fly (Machine)",,"",1,"normal",50,10,,,
